id,name,affected_scope,region_language,status,defect_class
G4-OW-003,Intro cutscene map/content mismatch,D/P/Pt/HG/SS,all,assessment_required,content_consistency
G4-OW-004,Waterfall facing-direction oversight,D/P/Pt/HG/SS,all,confirmed_public,movement_state
G4-OW-005,Barry Underground overlap,D/P,all,confirmed_public,npc_spawn
G4-OW-006,Barry rematch weekday persistence,D/P,all,confirmed_public,event_refresh
G4-OW-007,Broken escalator / wall trap,D/P,early Japanese,region_specific,warp_coordinates
G4-OW-008,Dress-up Hiker movement glitch,D/P,all,confirmed_public,input_script_race
G4-OW-009,Pal Park Retire glitch,D/P,all,confirmed_public,state_machine
G4-UI-004,Poké Mart text glitch,D/P,all,confirmed_public,ui_state
G4-AUD-001,Turnback Cave music instrument glitch,D/P,all,confirmed_public,audio_state
G4-AUD-002,Silent Route 214,D/P,all,confirmed_public,audio_state
G4-OW-010,Surf glitch / wall escape,D/P,early Japanese primarily,region_specific,collision_warp
G4-GFX-001,Battle Frontier transition pixel leak,Pt,all,confirmed_public,rendering
G4-DBG-001,Battle Tower B-button debug warp,Pt,all,confirmed_public,debug_leftover
G4-TEXT-002,Black Belt Eddie speech layout error,Pt,possibly English,research_required,localization_text
G4-PERF-001,Full-party framerate degradation,Pt,all,confirmed_public,performance
G4-OW-011,Route 227 resurfacing clipping,Pt,all,confirmed_public,warp_coordinates
G4-OW-012,Cheryl/NPC overlap,D/P/Pt,all,confirmed_public,npc_collision
G4-OW-013,Explorer Kit unusable-tile oversights,D/P/Pt,all,research_required,tile_behavior
G4-OW-014,Soft-Boiled/Milk Drink target race,D/P/Pt; HG/SS unknown,all,research_required,input_race
G4-MIG-002,Pal Park date manipulation,D/P/Pt,all,assessment_required,clock_policy
G4-NET-007,Underground goods/trap duplication,D/P/Pt,all,confirmed_public,transaction_atomicity
G4-ENC-002,Sticky Hold/Suction Cups field effect missing,D/P/Pt,all,confirmed_public,ability_field_effect
G4-OW-015,Additional boulder water behavior,HG/SS,Japanese,region_specific,tile_behavior
G4-FOLLOW-001,Cianwood Gym follower tier glitch,HG/SS,all,confirmed_public,follower_position
G4-FOLLOW-002,Floating walking Pokémon,HG/SS,all,confirmed_public,animation_state
G4-AUD-003,GB Sounds muting,HG/SS,all,confirmed_public,audio_state
G4-EVT-002,Haircut brothers clock-state glitch,HG/SS,all,confirmed_public,rtc_state
G4-OW-016,Indigo Plateau guard state glitch,HG/SS,all,confirmed_public,npc_state
G4-MAP-001,Invisible grass tiles,HG/SS,all,confirmed_public,map_data
G4-GFX-002,Ecruteak Gym sprite corruption,HG/SS,all,confirmed_public,rendering
G4-GFX-003,Poké Mart sign placement glitch,HG/SS,all,research_required,rendering
G4-MAP-002,Dark Cave rock behaves as water,HG/SS,all,confirmed_public,map_data
G4-FOLLOW-003,Walking Pokémon vertical drift,HG/SS,all,confirmed_public,animation_state
G4-NET-008,Wi-Fi Plaza player merge,Pt/HG/SS,all,confirmed_public,network_avatar_state
G4-AUDIT-001,Arithmetic underflow/overflow sweep,D/P/Pt/HG/SS,all,discovery_track,static_dynamic_analysis
G4-AUDIT-002,Array/index/bounds sweep,D/P/Pt/HG/SS,all,discovery_track,static_dynamic_analysis
G4-AUDIT-003,Save transaction and corruption sweep,D/P/Pt/HG/SS,all,discovery_track,fault_injection
G4-AUDIT-004,Map collision/warp/tile sweep,D/P/Pt/HG/SS,all,discovery_track,data_validation
G4-AUDIT-005,Battle state-machine differential sweep,D/P/Pt/HG/SS,all,discovery_track,differential_testing
G4-AUDIT-006,Localization/text/encoding sweep,D/P/Pt/HG/SS,all regions/languages,discovery_track,data_validation
G4-AUDIT-007,Graphics/audio state reset sweep,D/P/Pt/HG/SS,all,discovery_track,state_machine
G4-AUDIT-008,Wireless/GTS/Wi-Fi transaction sweep,D/P/Pt/HG/SS,all,discovery_track,protocol_fault_injection
G4-AUDIT-009,Unused/debug/development-path safety sweep,D/P/Pt/HG/SS,all,discovery_track,static_analysis
G4-AUDIT-010,Cross-revision/region fix backport sweep,D/P/Pt/HG/SS,all revisions,discovery_track,binary_diff
